8100 <= x 8130; y_271 = 4122.0 + -0.5x; interpolation 
8130 <= x 8160; y_272 = -485.29999999999995 + 0.0667x; interpolation 
8160 <= x 8190; y_273 = 1146.7 + -0.1333x; interpolation 
8190 <= x 8220; y_274 = -5131.7 + 0.6333x; interpolation 
8220 <= x 8250; y_275 = 622.3 + -0.0667x; interpolation 
8250 <= x 8280; y_276 = 3922.3 + -0.4667x; interpolation 
8280 <= x 8310; y_277 = -4082.0 + 0.5x; interpolation 
8310 <= x 8340; y_278 = 4504.7 + -0.5333x; interpolation 
8340 <= x 8370; y_279 = -4390.7 + 0.5333x; interpolation 
8370 <= x 8400; y_280 = 910.0 + -0.1x; interpolation 
8400 <= x 8430; y_281 = 4270.0 + -0.5x; interpolation 
8430 <= x 8460; y_282 = -5003.0 + 0.6x; interpolation 
8460 <= x 8490; y_283 = 2611.0 + -0.3x; interpolation 
8490 <= x 8520; y_284 = 3742.7 + -0.4333x; interpolation 
8520 <= x 8550; y_285 = -1369.3 + 0.1667x; interpolation 
8550 <= x 8580; y_286 = -4219.0 + 0.5x; interpolation 
8580 <= x 8610; y_287 = 4646.7 + -0.5333x; interpolation 
8610 <= x 8640; y_288 = -4824.3 + 0.5667x; interpolation 
8640 <= x 8670; y_289 = 3815.7 + -0.4333x; interpolation 
8670 <= x 8700; y_290 = -3987.3 + 0.4667x; interpolation 
8700 <= x 8730; y_291 = 6743.3 + -0.7667x; interpolation 
8730 <= x 8760; y_292 = -6061.0 + 0.7x; interpolation 
8760 <= x 8790; y_293 = 4742.7 + -0.5333x; interpolation 
8790 <= x 8820; y_294 = -824.0 + 0.1x; interpolation 
8820 <= x 8850; y_295 = -3176.3 + 0.3667x; interpolation 
8850 <= x 8880; y_296 = -1110.7 + 0.1333x; interpolation 
8880 <= x 8910; y_297 = -222.7 + 0.0333x; interpolation 
8910 <= x 8940; y_298 = 1261.7 + -0.1333x; interpolation 
8940 <= x 8970; y_299 = -1121.7 + 0.1333x; interpolation 
8970 <= x 9000; y_300 = 5456.0 + -0.6x; interpolation 
9000 <= x 9030; y_301 = 1255.7 + -0.1333x; interpolation 
9030 <= x 9060; y_302 = -5666.7 + 0.6333x; interpolation 
9060 <= x 9090; y_303 = 3996.7 + -0.4333x; interpolation 
9090 <= x 9120; y_304 = -4184.3 + 0.4667x; interpolation 
9120 <= x 9150; y_305 = 3720.0 + -0.4x; interpolation 
9150 <= x 9180; y_306 = 2194.7 + -0.2333x; interpolation 
9180 <= x 9210; y_307 = 6479.0 + -0.7x; interpolation 
9210 <= x 9240; y_308 = 1874.0 + -0.2x; interpolation 
9240 <= x 9270; y_309 = -9521.7 + 1.0333x; interpolation 
9270 <= x 9300; y_310 = -4269.3 + 0.4667x; interpolation 
9300 <= x 9330; y_311 = 4100.7 + -0.4333x; interpolation 
9330 <= x 9360; y_312 = -2118.7 + 0.2333x; interpolation 
9360 <= x 9390; y_313 = 1937.0 + -0.2x; interpolation 
9390 <= x 9420; y_314 = -4323.3 + 0.4667x; interpolation 
9420 <= x 9450; y_315 = 1957.0 + -0.2x; interpolation 
9450 <= x 9480; y_316 = -1823.0 + 0.2x; interpolation 
9480 <= x 9510; y_317 = 2917.0 + -0.3x; interpolation 
9510 <= x 9540; y_318 = 2917.0 + -0.3x; interpolation 
9540 <= x 9570; y_319 = -1853.0 + 0.2x; interpolation 
9570 <= x 9600; y_320 = -3128.7 + 0.3333x; interpolation 
9600 <= x 9630; y_321 = 1671.3 + -0.1667x; interpolation 
9630 <= x 9660; y_322 = -2502.3 + 0.2667x; interpolation 
9660 <= x 9690; y_323 = 3616.3 + -0.3667x; interpolation 
9690 <= x 9720; y_324 = 2647.3 + -0.2667x; interpolation 
9720 <= x 9750; y_325 = -5453.3 + 0.5667x; interpolation 
9750 <= x 9780; y_326 = 5597.3 + -0.5667x; interpolation 
9780 <= x 9810; y_327 = -5813.0 + 0.6x; interpolation 
9810 <= x 9840; y_328 = 399.7 + -0.0333x; interpolation 
9840 <= x 9870; y_329 = 3024.0 + -0.3x; interpolation 
9870 <= x 9900; y_330 = -2569.3 + 0.2667x; interpolation 
9900 <= x 9930; y_331 = 731.3 + -0.0667x; interpolation 
9930 <= x 9960; y_332 = -261.7 + 0.0333x; interpolation 
9960 <= x 9990; y_333 = -1257.7 + 0.1333x; interpolation 
9990 <= x 10020; y_334 = 406.7 + -0.0333x; interpolation 
10020 <= x 10050; y_335 = 6085.0 + -0.6x; interpolation 
10050 <= x 10080; y_336 = -6309.7 + 0.6333x; interpolation 
10080 <= x 10110; y_337 = 6457.7 + -0.6333x; interpolation 
10110 <= x 10140; y_338 = -281.7 + 0.0333x; interpolation 
10140 <= x 10170; y_339 = -620.3 + 0.0667x; interpolation 
10170 <= x 10200; y_340 = 1075.0 + -0.1x; interpolation 
10200 <= x 10230; y_341 = -6065.0 + 0.6x; interpolation 
