0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
8670 <= x 8700; y_290 = -220.7 + 0.0333x; interpolation 
8700 <= x 8730; y_291 = 649.3 + -0.0667x; interpolation 
8730 <= x 8760; y_292 = -4588.7 + 0.5333x; interpolation 
8760 <= x 8790; y_293 = 1835.0 + -0.2x; interpolation 
8790 <= x 8820; y_294 = -2852.7 + 0.3333x; interpolation 
8820 <= x 8850; y_295 = 1851.0 + -0.2x; interpolation 
8850 <= x 8880; y_296 = 4506.0 + -0.5x; interpolation 
8880 <= x 8910; y_297 = -526.3 + 0.0667x; interpolation 
8910 <= x 8940; y_298 = -4981.3 + 0.5667x; interpolation 
8940 <= x 8970; y_299 = 1873.0 + -0.2x; interpolation 
8970 <= x 9000; y_300 = 1274.7 + -0.1333x; interpolation 
9000 <= x 9030; y_301 = -2024.6999999999998 + 0.2333x; interpolation 
9030 <= x 9060; y_302 = 5500.0 + -0.6x; interpolation 
9060 <= x 9090; y_303 = -540.3 + 0.0667x; interpolation 
9090 <= x 9120; y_304 = -5388.0 + 0.6x; interpolation 
9120 <= x 9150; y_305 = 387.7 + -0.0333x; interpolation 
9150 <= x 9180; y_306 = 4658.0 + -0.5x; interpolation 
9180 <= x 9210; y_307 = -2380.3 + 0.2667x; interpolation 
9210 <= x 9240; y_308 = 3145.7 + -0.3333x; interpolation 
9240 <= x 9270; y_309 = -5170.3 + 0.5667x; interpolation 
9270 <= x 9300; y_310 = 391.7 + -0.0333x; interpolation 
9300 <= x 9330; y_311 = 1012.0 + -0.1x; interpolation 
9330 <= x 9360; y_312 = -1476.3 + 0.1667x; interpolation 
9360 <= x 9390; y_313 = 2267.7 + -0.2333x; interpolation 
9390 <= x 9420; y_314 = 4145.7 + -0.4333x; interpolation 
9420 <= x 9450; y_315 = -5901.7 + 0.6333x; interpolation 
9450 <= x 9480; y_316 = 4493.3 + -0.4667x; interpolation 
9480 <= x 9510; y_317 = -3090.7 + 0.3333x; interpolation 
9510 <= x 9540; y_318 = -1506.3 + 0.1667x; interpolation 
9540 <= x 9570; y_319 = 1355.7 + -0.1333x; interpolation 
9570 <= x 9600; y_320 = -877.0 + 0.1x; interpolation 
9600 <= x 9630; y_321 = 3603.3 + -0.3667x; interpolation 
9630 <= x 9660; y_322 = -3137.7 + 0.3333x; interpolation 
9660 <= x 9690; y_323 = 1048.0 + -0.1x; interpolation 
9690 <= x 9720; y_324 = 4601.3 + -0.4667x; interpolation 
9720 <= x 9750; y_325 = -907.0 + 0.1x; interpolation 
9750 <= x 9780; y_326 = 1043.0 + -0.1x; interpolation 
9780 <= x 9810; y_327 = -587.3 + 0.0667x; interpolation 
9810 <= x 9840; y_328 = -4838.0 + 0.5x; interpolation 
9840 <= x 9870; y_329 = 4674.3 + -0.4667x; interpolation 
9870 <= x 9900; y_330 = 1055.0 + -0.1x; interpolation 
9900 <= x 9930; y_331 = -1254.7 + 0.1333x; interpolation 
9930 <= x 9960; y_332 = -3903.0 + 0.4x; interpolation 
9960 <= x 9990; y_333 = 3733.3 + -0.3667x; interpolation 
9990 <= x 10020; y_334 = -2260.7 + 0.2333x; interpolation 
10020 <= x 10050; y_335 = 4418.7 + -0.4333x; interpolation 
10050 <= x 10080; y_336 = -270.7 + 0.0333x; interpolation 
10080 <= x 10110; y_337 = -3294.7 + 0.3333x; interpolation 
10110 <= x 10140; y_338 = -599.3 + 0.0667x; interpolation 
10140 <= x 10170; y_339 = -260.7 + 0.0333x; interpolation 
10170 <= x 10200; y_340 = -1277.7 + 0.1333x; interpolation 
10200 <= x 10230; y_341 = 3142.0 + -0.3x; interpolation 
10230 <= x 10260; y_342 = -609.3 + 0.0667x; interpolation 
10260 <= x 10290; y_343 = 759.3 + -0.0667x; interpolation 
10290 <= x 10320; y_344 = -2671.3 + 0.2667x; interpolation 
10320 <= x 10350; y_345 = 2833.3 + -0.2667x; interpolation 
10350 <= x 10380; y_346 = 3178.0 + -0.3x; interpolation 
10380 <= x 10410; y_347 = 64.0 + 0.0x; interpolation 
10410 <= x 10440; y_348 = -6182.0 + 0.6x; interpolation 
10440 <= x 10470; y_349 = 6693.7 + -0.6333x; interpolation 
10470 <= x 10500; y_350 = -984.0 + 0.1x; interpolation 
10500 <= x 10530; y_351 = -5533.6 + 0.5333x; interpolation 
10530 <= x 10560; y_352 = 5697.6 + -0.5333x; interpolation 
10560 <= x 10590; y_353 = 417.6 + -0.0333x; interpolation 
10590 <= x 10620; y_354 = -287.6 + 0.0333x; interpolation 
10620 <= x 10650; y_355 = -6306.0 + 0.6x; interpolation 
10650 <= x 10680; y_356 = 794.4 + -0.0667x; interpolation 
